款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
25319207,2015UKI秋冬订货会,UKI,分割空气层外套,593,593裸粉,M,服装,外出服装系列,外套,秋,秋一,基本款,蓝色系,300-399,398,主：65%黏胶35%涤纶 
25319207,2015UKI秋冬订货会,UKI,分割空气层外套,593,593裸粉,L,服装,外出服装系列,外套,秋,秋一,基本款,蓝色系,300-399,398,主：65%黏胶35%涤纶 
25319207,2015UKI秋冬订货会,UKI,分割空气层外套,593,593裸粉,XL,服装,外出服装系列,外套,秋,秋一,基本款,蓝色系,300-399,398,主：65%黏胶35%涤纶 
25319207,2015UKI秋冬订货会,UKI,分割空气层外套,793,793浅蓝,M,服装,外出服装系列,外套,秋,秋一,基本款,红色系,300-399,398,主：65%黏胶35%涤纶 
25319207,2015UKI秋冬订货会,UKI,分割空气层外套,793,793浅蓝,L,服装,外出服装系列,外套,秋,秋一,基本款,红色系,300-399,398,主：65%黏胶35%涤纶 
25319207,2015UKI秋冬订货会,UKI,分割空气层外套,793,793浅蓝,XL,服装,外出服装系列,外套,秋,秋一,基本款,红色系,300-399,398,主：65%黏胶35%涤纶 
