598,裸粉条纹
599,裸粉色块
60,60黄色
603,灰黄
604,灰黄花沙
605,灰黄格纹
606,灰黄印花
607,灰黄波点
608,灰黄条纹
609,灰黄色块
61,61米黄
610,电商喇叭(临时)
613,土黄
614,土黄花沙
615,土黄格纹
616,土黄印花
617,土黄波点
618,土黄条纹
619,土黄色块
62,62柠黄
623,金黄
624,金黄花沙
625,金黄格纹
626,金黄印花
627,金黄波点
628,金黄条纹
629,金黄色块
633,姜黄
634,姜黄花沙
635,姜黄格纹
636,姜黄印花
637,姜黄波点
638,姜黄条纹
639,姜黄色块
643,中黄
644,中黄花沙
645,中黄格纹
646,中黄印花
647,中黄波点
648,中黄条纹
649,中黄色块
65,65浅黄
653,黄色
654,黄色花沙
655,黄色格纹
656,黄色印花
657,黄色波点
658,黄色条纹
659,黄色色块
663,芥黄
664,芥黄花沙
665,芥黄格纹
666,芥黄印花
667,芥黄波点
668,芥黄条纹
669,芥黄色块
673,柠黄
674,柠黄花沙
675,柠黄格纹
676,柠黄印花
677,柠黄波点
678,柠黄条纹
679,柠黄色块
690,电商专用8
691,电商专用4
693,浅黄
694,浅黄花沙
695,浅黄格纹
696,浅黄印花
697,浅黄波点
698,浅黄条纹
699,浅黄色块
70,70蓝色
703,灰蓝
704,灰蓝花沙
705,灰蓝格纹
706,灰蓝印花
707,灰蓝波点
708,灰蓝条纹
709,灰蓝色块
71,71浅蓝
713,藏青
714,藏青花沙
715,藏青格纹
716,藏青印花
717,藏青波点
718,藏青条纹
719,藏青色块
72,72湖蓝
723,深蓝
724,深蓝花沙
725,深蓝格纹
726,深蓝印花
727,深蓝波点
728,深蓝条纹
729,深蓝色块
73,73湖蓝
733,电商专用1
739,名称未定义
743,蓝色
744,蓝色花沙
745,蓝色格纹
746,蓝色印花
747,蓝色波点
748,蓝色条纹
749,蓝色色块
750,蓝白条
753,宝蓝
754,宝蓝花沙
755,宝蓝格纹
756,宝蓝印花
757,宝蓝波点
758,宝蓝条纹
759,宝蓝色块
76,76靛蓝
761,蓝绿色阶1-中
763,蓝绿
764,蓝绿花沙
765,蓝绿格纹
766,蓝绿印花
767,蓝绿波点
768,蓝绿条纹
769,蓝绿色块
77,77深藏青
773,天蓝
774,天蓝花沙
775,天蓝格纹
776,天蓝印花
777,天蓝波点
778,天蓝条纹
779,天蓝色块
78,78电商深藏青碎花
793,浅蓝
794,浅蓝花沙
795,浅蓝格纹
796,浅蓝印花
797,浅蓝波点
798,浅蓝条纹
799,浅蓝色块
80,80紫色
803,灰紫
804,灰紫花沙
805,灰紫格纹
806,灰紫印花
807,灰紫波点
808,灰紫条纹
809,灰紫色块
81,81浅粉
813,深紫
814,深紫花沙
815,深紫格纹
816,深紫印花
817,深紫波点
818,深紫条纹
819,深紫色块
82,82深紫
823,紫红
824,紫红花沙
825,紫红格纹
826,紫红印花
827,紫红波点
828,紫红条纹
829,紫红色块
83,83电商紫色碎花
830,紫白条
833,蓝紫
834,蓝紫花沙
835,蓝紫格纹
836,蓝紫印花
837,蓝紫波点
838,蓝紫条纹
839,蓝紫色块
84,84浅洋李色
849,紫色色块
85,85蓝紫
853,紫色
854,紫色花沙
855,紫色格纹
856,紫色印花
857,紫色波点
858,紫色条纹
859,紫色色块
87,87桃粉红
88,88热粉红
883,浅紫
884,浅紫花沙
885,浅紫格纹
886,浅紫印花
887,浅紫波点
888,浅紫条纹
889,浅紫色块
893,粉紫
894,粉紫花沙
895,粉紫格纹
896,粉紫印花
897,粉紫波点
898,粉紫条纹
899,粉紫色块
90,90标准牛仔色
903,灰桔
904,灰桔花沙
905,灰桔格纹
906,灰桔印花
907,灰桔波点
908,灰桔条纹
909,灰桔色块
91,91浅牛仔色
913,深桔
914,深桔花沙
915,深桔格纹
916,深桔印花
917,深桔波点
918,深桔条纹
919,深桔色块
92,92深牛仔色
933,桔红
934,桔红花沙
935,桔红格纹
936,桔红印花
937,桔红波点
938,桔红条纹
939,桔红色块
940,桔色色阶0-深
941,桔色色阶1-中
942,桔色色阶2-浅
943,桔色
944,桔色花纱
945,桔色格纹
946,桔色印花
947,桔色波点
948,桔色条纹
949,桔色色块
953,桔黄
954,桔黄花沙
955,桔黄格纹
956,桔黄印花
957,桔黄波点
958,桔黄条纹
959,桔黄色块
973,浅桔
974,浅桔花沙
975,浅桔格纹
976,浅桔印花
977,浅桔波点
978,浅桔条纹
979,浅桔色块
983,粉桔
984,粉桔花沙
985,粉桔格纹
986,粉桔印花
987,粉桔波点
988,粉桔条纹
989,粉桔色块
