款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
14320902,1,OCT,拼接银针织防辐射吊带,1213,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：100%锦纶含银离子 配：100%涤纶
14320902,1,OCT,拼接银针织防辐射吊带,1213,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：100%锦纶含银离子 配：100%涤纶
14320902,1,OCT,拼接银针织防辐射吊带,1213,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：100%锦纶含银离子 配：100%涤纶
14320908,1,OCT,蕾丝银针织防辐射背心,1214,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1680,主：100%锦纶含银离子 配：100%尼龙
14320908,1,OCT,蕾丝银针织防辐射背心,1214,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1680,主：100%锦纶含银离子 配：100%尼龙
14320908,1,OCT,蕾丝银针织防辐射背心,1214,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1680,主：100%锦纶含银离子 配：100%尼龙
14320909,1,OCT,花版银斜纹防辐射吊带,1215,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：54.3%银纤维45.7%涤纶 配：90%尼龙10%氨纶
14320909,1,OCT,花版银斜纹防辐射吊带,1215,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：54.3%银纤维45.7%涤纶 配：90%尼龙10%氨纶
14320909,1,OCT,花版银斜纹防辐射吊带,1215,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：54.3%银纤维45.7%涤纶 配：90%尼龙10%氨纶
14320912,1,OCT,金葱银斜纹防辐射上衣,1216,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：55.6%锦纶镀银丝44.4%涤纶 配：40%涤40%棉20%金银丝
14320912,1,OCT,金葱银斜纹防辐射上衣,1216,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：55.6%锦纶镀银丝44.4%涤纶 配：40%涤40%棉20%金银丝
